"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m18806384983","2021-03-16","","2021-03-26","Beaded Spring Easter Pillow","Completed","Pennsylvania","California","19.00","7.99","0.00","1.90","0.85","0.00","0.00","16.25","1.62","0.00","0.00","0.00","0.00"
"m18614056331","2021-03-19","","2021-03-26","Paris Eiffel Tower Liquid Soap Pump Set","Completed","Colorado","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.84","0.00","0.00","0.00","0.00"
"m13757214856","2021-03-19","","2021-03-28","Betsey Johnson Floral Throw Blanket","Completed","Texas","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.72","0.00","0.00","0.00","0.00"
"m39159061409","2021-03-25","","2021-03-28","Sephora Favorites Perfume Sampler 12pc","Completed","California","California","32.00","4.80","0.00","3.20","1.23","0.00","0.00","27.57","2.64","0.00","0.00","0.00","0.00"
"m59714000335","2021-03-20","","2021-03-28","Reserved for pfroggy","Completed","Virginia","California","60.00","9.99","0.00","6.00","2.04","0.00","0.00","51.96","3.60","0.00","0.00","0.00","0.00"
"m12821639785","2021-03-23","","2021-03-28","Pixie Rose Face Oil + Gift!","Completed","Florida","California","12.00","3.65","0.00","1.20","0.65","0.00","0.00","10.15","0.00","0.00","0.00","0.00","0.00"
"m79678610612","2021-03-21","","2021-03-28","Reserved for lkst734b","Completed","New Jersey","California","30.00","9.99","0.00","3.00","1.17","0.00","0.00","25.83","2.65","0.00","0.00","0.00","0.00"
"m87541076639","2021-03-24","","2021-03-28","Beach Sea Shells Shower Hooks","Completed","Florida","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","0.00","0.00","0.00","0.00","0.00"
"m33705459767","2021-03-18","","2021-03-28","Reserved for Mercedes","Completed","Pennsylvania","California","23.00","7.99","0.00","2.30","0.97","0.00","0.00","19.73","1.86","0.00","0.00","0.00","0.00"
"m66588871327","2021-03-22","","2021-03-29","Reserved for Joey10 ❤️","Completed","Florida","California","40.00","7.99","0.00","4.00","1.46","0.00","0.00","34.54","0.00","0.00","0.00","0.00","0.00"
"m47105021982","2021-03-23","","2021-03-29","Reserved for LHXX","Completed","Kentucky","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.38","0.00","0.00","0.00","0.00"
"m30561320787","2021-03-24","","2021-03-29","Snoopy Woodstock Throw Blanket","Completed","Texas","California","24.00","7.99","0.00","2.40","1.00","0.00","0.00","20.60","2.64","0.00","0.00","0.00","0.00"
"m88558450115","2021-03-24","","2021-03-29","Bumble Bee Beaded Coasters","Completed","Vermont","California","13.00","4.80","0.00","1.30","0.68","0.00","0.00","11.02","1.25","0.00","0.00","0.00","0.00"
"m23497521383","2021-03-20","","2021-03-30","Hello Sunshine Pillow","Completed","Utah","California","22.00","7.99","0.00","2.20","0.94","0.00","0.00","18.86","1.57","0.00","0.00","0.00","0.00"
"m26614985969","2021-03-24","","2021-03-30","Ceramic Spring Gnome Hinged Jar","Completed","Arizona","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.17","0.00","0.00","0.00","0.00"
"m65585801512","2021-03-24","","2021-03-30","Butterfly PEVA Shower Curtain","Completed","North Carolina","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.42","0.00","0.00","0.00","0.00"
"m46898077665","2021-03-22","","2021-03-30","Ceramic Nesting Measuring Cups","Completed","Missouri","California","14.00","7.99","0.00","1.40","0.71","0.00","0.00","11.89","0.00","0.00","0.00","0.00","0.00"
"m93721743313","2021-03-24","","2021-03-30","Mid Century Modern Shower Curtain","Completed","Texas","California","20.00","5.99","0.00","2.00","0.88","0.00","0.00","17.12","1.75","0.00","0.00","0.00","0.00"
"m27681456248","2021-03-25","","2021-03-30","RESERVED for Truthseeker","Completed","Texas","California","35.00","7.99","0.00","3.50","1.32","0.00","0.00","30.18","2.90","0.00","0.00","0.00","0.00"
"m38829287223","2021-03-28","","2021-03-31","Peanuts Snoopy Spring Kitchen Set","Completed","Texas","California","16.00","5.99","0.00","1.60","0.76","0.00","0.00","13.64","1.81","0.00","0.00","0.00","0.00"
"m24615725117","2021-03-24","","2021-03-31","RESERVED: Heather Rae Wilson W","Completed","Florida","California","34.00","7.99","0.00","3.40","1.29","0.00","0.00","29.31","0.00","0.00","0.00","0.00","0.00"
"m10380230818","2021-03-29","","2021-04-01","RESERVED for Joan - Coasters","Completed","Florida","California","22.00","5.99","0.00","2.20","0.94","0.00","0.00","18.86","0.00","0.00","0.00","0.00","0.00"
"m93907264618","2021-03-27","","2021-04-01","French Tin Garden Planter","Completed","Oregon","California","10.00","5.99","0.00","1.00","0.59","0.00","0.00","8.41","0.00","0.00","0.00","0.00","0.00"
"m69667733471","2021-03-29","","2021-04-01","Peanuts Snoopy Tablecloth","Completed","Maryland","California","19.00","5.99","0.00","1.90","0.85","0.00","0.00","16.25","1.14","0.00","0.00","0.00","0.00"
"m75941100756","2021-03-29","","2021-04-01","Luis Vuitton Handbag Wall Art","Completed","California","California","55.00","9.99","0.00","5.50","1.90","0.00","0.00","47.60","4.26","0.00","0.00","0.00","0.00"
"m89373145252","2021-03-29","","2021-04-02","Easter Farmhouse Table Runner","Completed","New York","California","28.00","5.99","0.00","2.80","1.11","0.00","0.00","24.09","2.93","0.00","0.00","0.00","0.00"
"m25606347149","2021-03-23","","2021-04-02","Space Galaxy Plush Throw Blanket","Completed","Virginia","California","20.00","7.99","0.00","2.00","0.88","0.00","0.00","17.12","1.20","0.00","0.00","0.00","0.00"
"m42678111039","2021-03-25","","2021-04-02","Peanuts Snoopy Tablecloth","Completed","Pennsylvania","California","22.00","5.99","0.00","2.20","0.94","0.00","0.00","18.86","2.24","0.00","0.00","0.00","0.00"
"m10064167205","2021-03-27","","2021-04-03","Paris Necklace Jewelry Stands","Completed","Washington","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.80","0.00","0.00","0.00","0.00"
"m64644559264","2021-03-31","","2021-04-03","Eiffel Tower Paris Placemats","Completed","Colorado","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","1.92","0.00","0.00","0.00","0.00"
"m43715582164","2021-03-27","","2021-04-03","Floral Hummingbird Toile Shower Curtain","Completed","Tennessee","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","3.51","0.00","0.00","0.00","0.00"
"m42255871802","2021-03-29","","2021-04-04","Peanuts Snoopy Tablecloth","Completed","New York","California","19.00","5.99","0.00","1.90","0.85","0.00","0.00","16.25","2.16","0.00","0.00","0.00","0.00"
"m87000224852","2021-03-21","","2021-04-04","Betsey Johnson Chili Pepper Throw Blanke","Completed","Florida","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","0.00","0.00","0.00","0.00","0.00"
"m99502055796","2021-03-27","","2021-04-04","Ceramic Boho Artisan Drawer Pulls","Completed","Alabama","California","22.00","7.99","0.00","2.20","0.94","0.00","0.00","18.86","1.76","0.00","0.00","0.00","0.00"
"m71535332192","2021-04-02","","2021-04-05","Farmhouse Lemon Placemats (6)","Completed","California","California","19.00","7.99","0.00","1.90","0.85","0.00","0.00","16.25","1.47","0.00","0.00","0.00","0.00"
"m21809597377","2021-03-29","","2021-04-05","RESERVED for Trish ❤️","Completed","Idaho","California","24.00","7.99","0.00","2.40","1.00","0.00","0.00","20.60","1.44","0.00","0.00","0.00","0.00"
"m63844369902","2021-03-26","","2021-04-06","Gnome & Mushroom Spring Throw Blanket","Completed","Iowa","California","20.00","7.99","0.00","2.00","0.88","0.00","0.00","17.12","1.40","0.00","0.00","0.00","0.00"
"m81641311012","2021-03-30","","2021-04-06","Luis Vuitton Handbag Wall Art","Completed","Indiana","California","55.00","9.99","0.00","5.50","1.90","0.00","0.00","47.60","4.55","0.00","0.00","0.00","0.00"
"m76331380496","2021-03-31","","2021-04-06","Beaded Llama Alpaca Coasters","Completed","Texas","California","15.00","4.80","0.00","1.50","0.74","0.00","0.00","12.76","1.63","0.00","0.00","0.00","0.00"
"m32419636806","2021-04-01","","2021-04-06","Decorative Easter Eggs Bowl Fillers","Completed","Arizona","California","9.00","5.99","0.00","0.90","0.56","0.00","0.00","7.54","0.70","0.00","0.00","0.00","0.00"
"m20963143808","2021-04-01","","2021-04-07","Peanuts Snoopy Tablecloth","Completed","Arizona","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","1.66","0.00","0.00","0.00","0.00"
"m89311681068","2021-03-31","","2021-04-07","Farmhouse Bumble Bee Shower Curtain","Completed","New York","California","23.00","5.99","0.00","2.30","0.97","0.00","0.00","19.73","2.54","0.00","0.00","0.00","0.00"
"m82791734944","2021-03-23","","2021-04-08","Bumble Bee Dishes","Completed","Pennsylvania","California","32.00","9.99","0.00","3.20","1.23","0.00","0.00","27.57","2.52","0.00","0.00","0.00","0.00"
"m72806157420","2021-03-25","","2021-04-08","Lemon Farmhouse Tablecloth","Completed","Michigan","California","23.00","7.99","0.00","2.30","0.97","0.00","0.00","19.73","1.86","0.00","0.00","0.00","0.00"
"m37055416932","2021-04-04","","2021-04-08","Saje Stress Release & Energy Oils","Completed","California","California","15.00","3.65","0.00","1.50","0.74","0.00","0.00","12.76","1.24","0.00","0.00","0.00","0.00"
"m66056824985","2021-04-04","","2021-04-08","Farmhouse Ceramic Pedestal Risers","Completed","California","California","20.00","5.99","0.00","2.00","0.88","0.00","0.00","17.12","1.90","0.00","0.00","0.00","0.00"
"m91593801274","2021-03-31","","2021-04-08","Faux Farmhouse Lemons Decor","Completed","North Carolina","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","1.62","0.00","0.00","0.00","0.00"
"m14580929597","2021-03-30","","2021-04-08","Sea Ocean Coastal Coasters","Completed","Florida","California","12.00","4.80","0.00","1.20","0.65","0.00","0.00","10.15","0.00","0.00","0.00","0.00","0.00"
"m26639087379","2021-04-02","","2021-04-08","Rachel Ashwell Bumble Bee Pitcher","Completed","Tennessee","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","3.33","0.00","0.00","0.00","0.00"
"m78282177771","2021-04-05","","2021-04-09","Farmhouse Bumble Bee Sink Mat x 2","Completed","Tennessee","California","18.00","7.99","0.00","1.80","0.82","0.00","0.00","15.38","2.53","0.00","0.00","0.00","0.00"
"m23375256754","2021-04-03","","2021-04-09","Reserved: Snoopy Towel Sets","Completed","Utah","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","1.96","0.00","0.00","0.00","0.00"
"m50433769037","2021-04-06","","2021-04-09","Frenchie in Paris Bath Towel Set","Completed","California","California","30.00","7.99","0.00","3.00","1.17","0.00","0.00","25.83","2.63","0.00","0.00","0.00","0.00"
"m56430100299","2021-04-06","","2021-04-09","Wonder Woman WW84 Mug","Completed","Texas","California","18.00","4.99","0.00","1.80","0.82","0.00","0.00","15.38","1.90","0.00","0.00","0.00","0.00"
"m11795949345","2021-04-02","","2021-04-09","Paris Necklace Jewelry Stands","Completed","Illinois","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.06","0.00","0.00","0.00","0.00"
"m82941699247","2021-04-07","","2021-04-09","Hello Gorgeous Eyelash Shower Curtain","Completed","Arizona","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.38","0.00","0.00","0.00","0.00"
"m52593112508","2021-04-05","","2021-04-10","Ceramic Pedestal Risers (2)","Completed","Texas","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.90","0.00","0.00","0.00","0.00"
"m15551310300","2021-04-08","","2021-04-10","Decorative Farmhouse Easter Eggs","Completed","Tennessee","California","9.00","5.99","0.00","0.90","0.56","0.00","0.00","7.54","1.46","0.00","0.00","0.00","0.00"
"m63827576598","2021-04-04","","2021-04-10","Fleur de lis Set of 6 Drawer Knobs Pulls","Completed","Louisiana","California","20.00","5.99","0.00","2.00","0.88","0.00","0.00","17.12","2.46","0.00","0.00","0.00","0.00"
"m83269902727","2021-04-04","","2021-04-10","Farmhouse Bumble Bee Sink Mat x 2","Completed","Indiana","California","16.00","7.99","0.00","1.60","0.76","0.00","0.00","13.64","1.68","0.00","0.00","0.00","0.00"
"m98568549960","2021-03-29","","2021-04-10","Spring Mushroom Gnome Pillow","Completed","New Jersey","California","21.00","7.99","0.00","2.10","0.91","0.00","0.00","17.99","1.92","0.00","0.00","0.00","0.00"
"m45751930890","2021-04-05","","2021-04-10","Aloha Outdoor Indoor Pillow","Completed","California","California","22.00","7.99","0.00","2.20","0.94","0.00","0.00","18.86","1.93","0.00","0.00","0.00","0.00"
"m90971057598","2021-04-05","","2021-04-11","Snoopy & Woodstock Towel Set","Completed","South Carolina","California","15.00","4.80","0.00","1.50","0.74","0.00","0.00","12.76","1.39","0.00","0.00","0.00","0.00"
"m87856508437","2021-04-04","","2021-04-11","Minnie Mouse Baby Blanket","Completed","Alaska","California","17.00","5.99","0.00","1.70","0.79","0.00","0.00","14.51","0.00","0.00","0.00","0.00","0.00"
"m75733200749","2021-04-01","","2021-04-11","Farmhouse Lemon Table Runner","Completed","Mississippi","California","21.00","5.99","0.00","2.10","0.91","0.00","0.00","17.99","1.89","0.00","0.00","0.00","0.00"
"m87636958574","2021-04-07","","2021-04-12","Frenchie Luxury Beach Towel","Completed","California","California","22.00","7.99","0.00","2.20","0.94","0.00","0.00","18.86","1.93","0.00","0.00","0.00","0.00"
"m20592147215","2021-04-10","","2021-04-12","Lemon & Leaves String Lights 10 Ft","Completed","Florida","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","0.00","0.00","0.00","0.00","0.00"
"m60393700587","2021-04-07","","2021-04-12","Snoopy Dish Drying Mat - 2 Pk!","Completed","Virginia","California","22.00","4.80","0.00","2.20","0.94","0.00","0.00","18.86","1.32","0.00","0.00","0.00","0.00"
"m37892450512","2021-04-03","","2021-04-12","Paris Eiffel Tower Luxe Throw Blanket","Completed","Oklahoma","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.52","0.00","0.00","0.00","0.00"
"m71545981074","2021-04-10","","2021-04-13","Beach Sea Shells Shower Hooks","Completed","Wisconsin","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.15","0.00","0.00","0.00","0.00"
"m19159263682","2021-04-07","","2021-04-13","Berkshire Snoopy Queen Size Blanket","Completed","Wisconsin","California","42.00","9.99","0.00","4.20","1.52","0.00","0.00","36.28","2.86","0.00","0.00","0.00","0.00"
"m61832219946","2021-04-07","","2021-04-13","Farmhouse Bumble Bee Sink Mat x 2","Completed","West Virginia","California","18.00","7.99","0.00","1.80","0.82","0.00","0.00","15.38","1.56","0.00","0.00","0.00","0.00"
"m48904514705","2021-04-06","","2021-04-13","The Power of Chakras Book & Cards","Completed","Texas","California","16.00","0.00","0.00","1.60","0.76","0.00","0.00","13.64","1.32","0.00","0.00","0.00","0.00"
"m20336243636","2021-04-05","","2021-04-13","Reserved for Valerie","Completed","Ohio","California","34.00","7.99","0.00","3.40","1.29","0.00","0.00","29.31","3.04","0.00","0.00","0.00","0.00"
"m54293638231","2021-04-09","","2021-04-13","French Paris Eiffel Tower Decor Pillows","Completed","California","California","30.00","9.99","0.00","3.00","1.17","0.00","0.00","25.83","2.39","0.00","0.00","0.00","0.00"
"m59580743010","2021-04-03","","2021-04-13","Coastal Deep Sea Shower Curtain","Completed","Pennsylvania","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","1.98","0.00","0.00","0.00","0.00"
"m15637226324","2021-04-03","","2021-04-13","Corgi Dog Mom Plush Throw","Completed","Ohio","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.39","0.00","0.00","0.00","0.00"
"m68167618617","2021-04-07","","2021-04-15","RESERVED for Joey ❤️","Completed","Florida","California","60.00","9.99","0.00","6.00","2.04","0.00","0.00","51.96","0.00","0.00","0.00","0.00","0.00"
"m27282715119","2021-04-09","","2021-04-15","Kitchenaid Pink Measuring Cups Spoons","Completed","Oklahoma","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.39","0.00","0.00","0.00","0.00"
"m75458143518","2021-04-12","","2021-04-16","Farmhouse Lemon Kitchen Towel Set (3)","Completed","Texas","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","1.98","0.00","0.00","0.00","0.00"
"m15592682188","2021-04-09","","2021-04-16","Reserved - Paris Throw and Frame","Completed","Minnesota","California","40.00","7.99","0.00","4.00","1.46","0.00","0.00","34.54","3.42","0.00","0.00","0.00","0.00"
"m72038584430","2021-04-12","","2021-04-16","Peanuts Snoopy & Gang Tablecloth","Completed","New Jersey","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","1.59","0.00","0.00","0.00","0.00"
"m84299263125","2021-04-05","","2021-04-16","Floral Cat Plush Throw Set","Completed","North Carolina","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","2.52","0.00","0.00","0.00","0.00"
"m60313755998","2021-04-06","","2021-04-16","BOTM Bundle","Completed","Florida","California","100.00","0.00","0.00","10.00","3.20","0.00","0.00","86.80","0.00","0.00","0.00","0.00","0.00"
"m46275701335","2021-04-08","","2021-04-16","MCM Crystal Glasses","Completed","Ohio","California","60.00","13.50","0.00","6.00","2.04","0.00","0.00","51.96","5.51","0.00","0.00","0.00","0.00"
"m66246901146","2021-03-27","","2021-04-17","Bumble Bee Silver Metal Dish","Completed","Tennessee","California","22.00","7.99","0.00","2.20","0.94","0.00","0.00","18.86","2.92","0.00","0.00","0.00","0.00"
"m40855219669","2021-04-11","","2021-04-17","Floral Cat Plush Throw Set","Completed","Georgia","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","2.52","0.00","0.00","0.00","0.00"
"m70899825998","2021-04-14","","2021-04-17","Beach Sea Shells Shower Hooks","Completed","Indiana","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.47","0.00","0.00","0.00","0.00"
"m85121194686","2021-04-08","","2021-04-18","Silver Pineapple Tumbler","Completed","Oregon","California","20.00","7.99","0.00","2.00","0.88","0.00","0.00","17.12","0.00","0.00","0.00","0.00","0.00"
"m95718847863","2021-04-11","","2021-04-18","THL Blue Canisters","Completed","California","California","45.00","9.99","0.00","4.50","1.61","0.00","0.00","38.89","3.49","0.00","0.00","0.00","0.00"
"m16163022301","2021-04-11","","2021-04-19","Be Happy Bee Throw Pillow","Completed","Tennessee","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","3.22","0.00","0.00","0.00","0.00"
"m99875928228","2021-04-13","","2021-04-19","Farmhouse Bee Towel Set","Completed","Arkansas","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.99","0.00","0.00","0.00","0.00"
"m55044317831","2021-04-16","","2021-04-19","Huge Prestige Fragrance Bundle","Completed","New York","California","65.00","5.99","0.00","6.50","2.19","0.00","0.00","56.31","6.30","0.00","0.00","0.00","0.00"
"m42658871690","2021-04-15","","2021-04-20","Paris Eiffel Tower Shower Curtain Set","Completed","Texas","California","21.00","5.99","0.00","2.10","0.91","0.00","0.00","17.99","1.82","0.00","0.00","0.00","0.00"
"m59374120640","2021-04-17","","2021-04-20","Paris Eiffel Tower Shower Curtain Set","Completed","Kentucky","California","25.00","5.99","0.00","2.50","1.03","0.00","0.00","21.47","1.86","0.00","0.00","0.00","0.00"
"m86955616805","2021-04-17","","2021-04-20","Reserved: Betsy Bowman Floral Elephant","Completed","Wisconsin","California","20.00","5.99","0.00","2.00","0.88","0.00","0.00","17.12","1.43","0.00","0.00","0.00","0.00"
"m11274189414","2021-04-15","","2021-04-21","Reserved: Berkshire Snoopy Queen Blanket","Completed","Wisconsin","California","42.00","9.99","0.00","4.20","1.52","0.00","0.00","36.28","2.86","0.00","0.00","0.00","0.00"
"m26690417159","2021-04-09","","2021-04-21","Seahorse Coastal Statue Decor","Completed","Michigan","California","20.00","7.99","0.00","2.00","0.88","0.00","0.00","17.12","1.68","0.00","0.00","0.00","0.00"
"m71209737189","2021-04-15","","2021-04-22","Faux Farmhouse Lemons Decor","Completed","West Virginia","California","18.00","7.99","0.00","1.80","0.82","0.00","0.00","15.38","1.56","0.00","0.00","0.00","0.00"
"m18455759519","2021-04-16","","2021-04-22","Reserved: Pittiemom#1","Completed","Illinois","California","50.00","9.99","0.00","5.00","1.75","0.00","0.00","43.25","3.75","0.00","0.00","0.00","0.00"
"m20194204530","2021-04-17","","2021-04-22","Chanel Perfume Bottle Wall Art","Completed","California","California","38.00","9.99","0.00","3.80","1.40","0.00","0.00","32.80","3.42","0.00","0.00","0.00","0.00"
"m52731323369","2021-04-11","","2021-04-23","Doreen Virtue Oracle Card Bundle","Completed","Massachusetts","California","110.00","0.00","0.00","11.00","3.49","0.00","0.00","95.51","6.88","0.00","0.00","0.00","0.00"
"m15735246019","2021-04-18","","2021-04-23","Floral Toile Shower Curtain","Completed","Ohio","California","23.00","7.99","0.00","2.30","0.97","0.00","0.00","19.73","2.25","0.00","0.00","0.00","0.00"
"m49582740672","2021-04-17","","2021-04-24","Farmhouse Lemon Placemats (6)","Completed","New York","California","19.00","7.99","0.00","1.90","0.85","0.00","0.00","16.25","2.16","0.00","0.00","0.00","0.00"
"m35090825438","2021-04-17","","2021-04-24","Reserved for JLP - KS Towel & Coasters","Completed","Florida","California","34.00","7.99","0.00","3.40","1.29","0.00","0.00","29.31","0.00","0.00","0.00","0.00","0.00"
"m17276637645","2021-04-12","","2021-04-25","Peanuts Snoopy Woodstock Kitchen Mat","Completed","Minnesota","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.43","0.00","0.00","0.00","0.00"
"m23844052439","2021-04-18","","2021-04-25","Mid Century Floral Shower Curtain","Completed","Utah","California","23.00","7.99","0.00","2.30","0.97","0.00","0.00","19.73","1.78","0.00","0.00","0.00","0.00"
"m87878433667","2021-04-21","","2021-04-26","Multi Dog Shower Curtain","Completed","Texas","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.72","0.00","0.00","0.00","0.00"
"m85092276896","2021-04-13","","2021-04-26","Spring Buffalo Plaid Chick Pillow","Completed","Arkansas","California","17.00","7.99","0.00","1.70","0.79","0.00","0.00","14.51","2.56","0.00","0.00","0.00","0.00"
"m54527213181","2021-04-10","","2021-04-26","Farmhouse Lemon Luxury Beach Towel","Completed","Mississippi","California","20.00","7.99","0.00","2.00","0.88","0.00","0.00","17.12","1.96","0.00","0.00","0.00","0.00"
"m61733644045","2021-04-24","","2021-04-27","Marc Jacobs Eye-Conic Palettes x 2","Completed","Ohio","California","42.00","5.99","0.00","4.20","1.52","0.00","0.00","36.28","3.48","0.00","0.00","0.00","0.00"
"m28413303386","2021-04-23","","2021-04-27","Pug PEVA Shower Curtain","Completed","Indiana","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","1.68","0.00","0.00","0.00","0.00"
"m56078259951","2021-04-22","","2021-04-28","Peanuts Snoopy & Gang Mug","Completed","Texas","California","13.00","7.99","0.00","1.30","0.68","0.00","0.00","11.02","1.73","0.00","0.00","0.00","0.00"
"m29542698152","2021-04-26","","2021-04-28","Patriotic Gnome","Completed","Illinois","California","20.00","5.99","0.00","2.00","0.88","0.00","0.00","17.12","1.62","0.00","0.00","0.00","0.00"
"m46797814699","2021-04-21","","2021-04-28","Ceramic Pedestal Risers (2)","Completed","Texas","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.90","0.00","0.00","0.00","0.00"
"m77775447171","2021-04-22","","2021-04-28","French Eiffel Tower Sink Mats (2)","Completed","Texas","California","18.00","7.99","0.00","1.80","0.82","0.00","0.00","15.38","2.14","0.00","0.00","0.00","0.00"
"m32553196465","2021-04-25","","2021-04-29","RARE 2021 Patriotic Felt Bird","Completed","Massachusetts","California","35.00","5.99","0.00","3.50","1.32","0.00","0.00","30.18","2.19","0.00","0.00","0.00","0.00"
"m56680452655","2021-04-18","","2021-04-29","Victorian Birdcage Shower Curtain","Completed","Massachusetts","California","26.00","7.99","0.00","2.60","1.05","0.00","0.00","22.35","1.63","0.00","0.00","0.00","0.00"
"m18217480402","2021-04-25","","2021-04-29","THL Salt and Pepper Shakers","Completed","New Jersey","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.39","0.00","0.00","0.00","0.00"
"m42169200163","2021-04-21","","2021-04-29","Paris Canvis Storage Containers","Completed","Mississippi","California","24.00","7.99","0.00","2.40","1.00","0.00","0.00","20.60","2.24","0.00","0.00","0.00","0.00"
"m89749105299","2021-04-26","","2021-04-30","Frenchie Boston Terrier Storage Bins","Completed","California","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","2.17","0.00","0.00","0.00","0.00"
"m69683789235","2021-04-23","","2021-04-30","Pug PEVA Shower Curtain","Completed","Missouri","California","18.00","5.99","0.00","1.80","0.82","0.00","0.00","15.38","0.00","0.00","0.00","0.00","0.00"
"m20134436421","2021-04-24","","2021-04-30","Chanel Perfume Bottle Wall Art","Completed","Ohio","California","42.00","9.99","0.00","4.20","1.52","0.00","0.00","36.28","3.90","0.00","0.00","0.00","0.00"
"m63042643692","2021-04-19","","2021-04-30","Farmhouse Bee Tray by Rachel Ashwell","Completed","Maryland","California","29.00","9.99","0.00","2.90","1.14","0.00","0.00","24.96","1.74","0.00","0.00","0.00","0.00"
"m47202118678","2021-04-24","","2021-04-30","Trov Lifelike Yorkie Plush","Completed","Delaware","California","22.00","5.99","0.00","2.20","0.94","0.00","0.00","18.86","0.00","0.00","0.00","0.00","0.00"
"m79553068502","2021-04-25","","2021-04-30","Metal and Rope Rustic Handled Tray","Completed","Pennsylvania","California","15.00","7.99","0.00","1.50","0.74","0.00","0.00","12.76","1.38","0.00","0.00","0.00","0.00"
"m47865455029","2021-04-26","","2021-04-30","Multi Dog Bath Mat","Completed","Oklahoma","California","13.00","7.99","0.00","1.30","0.68","0.00","0.00","11.02","1.12","0.00","0.00","0.00","0.00"
"m42456466187","2021-04-17","","2021-04-30","Farmhouse Bumblebee Planter Pots","Completed","Mississippi","California","25.00","7.99","0.00","2.50","1.03","0.00","0.00","21.47","2.31","0.00","0.00","0.00","0.00"
"m44037586157","2021-04-24","","2021-05-01","RARE 2021 Patriotic Felt Bird","Completed","Maryland","California","30.00","5.99","0.00","3.00","1.17","0.00","0.00","25.83","1.80","0.00","0.00","0.00","0.00"
"m50206405490","2021-04-25","","2021-05-02","Paris Canvis Storage Containers","Completed","Massachusetts","California","24.00","7.99","0.00","2.40","1.00","0.00","0.00","20.60","1.50","0.00","0.00","0.00","0.00"
"m63407955399","2021-04-28","","2021-05-02","THL Salt and Pepper Shakers","Completed","Texas","California","15.00","5.99","0.00","1.50","0.74","0.00","0.00","12.76","1.73","0.00","0.00","0.00","0.00"
"m42534189179","2021-04-26","","2021-05-02","Frenchie Boston Terrier Storage Bins","Completed","Wisconsin","California","28.00","7.99","0.00","2.80","1.11","0.00","0.00","24.09","1.98","0.00","0.00","0.00","0.00"
"m83811998612","2021-04-25","","2021-05-02","Paris Eiffel Tower Storage Containers","Completed","Massachusetts","California","24.00","7.99","0.00","2.40","1.00","0.00","0.00","20.60","1.50","0.00","0.00","0.00","0.00"
"m98881766661","2021-04-27","","2021-05-02","Boston Terrier Frenchie Beach Towel","Completed","Illinois","California","21.00","7.99","0.00","2.10","0.91","0.00","0.00","17.99","1.81","0.00","0.00","0.00","0.00"
